symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,electronic_configuration,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,melting_point,name,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,jmol_color,cpk_color,proton_affinity,gas_basicity,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreiding,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,molcas_gv_color,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,cas,atomic_radius_rahm,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,wiki_valence,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy
Mt,109,,,d,,,34.0,,[Rn] 5f14 6d7 7s2,,,9.0,,,,Meitnerium,7,8,,,,,129.0,,,#eb0026,,,,,,,,,,,,,,,,,,,,,276.0,,,True,54038-01-6,,,,125.0,113.0,1982.0,66,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ds,110,,,d,,,32.0,,[Rn] 5f14 6d9 7s1,,,10.0,,,,Darmstadtium,7,8,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,281.0,,,True,54083-77-1,,,,116.0,118.0,1994.0,70,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rg,111,,,d,,,32.0,,[Rn] 5f14 6d10 7s1,,,11.0,,,,Roentgenium,7,8,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,281.0,,,True,54386-24-2,,,,116.0,118.0,1994.0,74,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn,112,,,d,,,28.0,,[Rn] 5f14 6d10 7s2,,,12.0,,,,Copernicium,7,8,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,285.0,,,True,54084-26-3,,,,137.0,130.0,1996.0,80,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nh,113,,,p,,,29.0,,[Rn] 5f14 6d10 7s2 7p1,,,13.0,,,,Nihonium,7,7,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,True,54084-70-7,,,,,,2015.0,86,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl,114,,,p,,,31.0,,[Rn] 5f14 6d10 7s2 7p2,,,14.0,,,,Flerovium,7,7,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,289.0,,,True,54085-16-4,,,,,,1998.0,92,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc,115,,,p,,,71.0,,[Rn] 5f14 6d10 7s2 7p3,,,15.0,,,,Moscovium,7,7,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,288.0,,,True,54085-64-2,,,,,,2003.0,98,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,p,,,,,[Rn] 5f14 6d10 7s2 7p4,,,16.0,,,,Livermorium,7,7,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,293.0,,,True,54100-71-9,,,,,,2000.0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,p,,,76.0,,[Rn] 5f14 6d10 7s2 7p5,,,17.0,,,,Tennessine,7,6,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,294.0,,,True,87658-56-8,,,,,,2010.0,111,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Og,118,,,p,,,58.0,0.055999999999999994,[Rn] 5f14 6d10 7s2 7p6,,,18.0,,,,Oganesson,7,2,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,294.0,,,True,54144-19-3,,,,,,2002.0,118,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
